Rumstyp-ID,Post-ID,Ordning,Radio-grupp,Std-vald,Std-antal,Std-area,Följepost-typ,Parent-Post-ID,Trigger-Post-IDs,Rendera i kategori,Inherit reducesFloor,Inherit parentArea
vardagsrum,golv_ekparkett,10,golv,nej,,,,,,,,
vardagsrum,golv_ekparkett__rivning,20,,ja,,,A,golv_ekparkett,,,ja,nej
vardagsrum,golv_ekparkett__spackling,21,,nej,,,A,golv_ekparkett,,,ja,nej
vardagsrum,golv_klickvinyl,30,golv,nej,,,,,,,,
vardagsrum,golv_klickvinyl__rivning,40,,ja,,,A,golv_klickvinyl,,,ja,nej
vardagsrum,golv_klickvinyl__spackling,41,,nej,,,A,golv_klickvinyl,,,ja,nej
vardagsrum,golv_matta,50,golv,nej,,,,,,,,
vardagsrum,golv_matta__rivning,60,,ja,,,A,golv_matta,,,ja,nej
vardagsrum,golv_matta__spackling,61,,nej,,,A,golv_matta,,,ja,nej
vardagsrum,malning_tak,70,,nej,,,,,,,,
vardagsrum,malning_vagg,80,,nej,,,,,,,,
vardagsrum,innerdorr,90,innerdorr,nej,,,,,,,,
vardagsrum,innerdorr_malning,100,innerdorr,nej,,,,,,,,
vardagsrum,fonster_malning,110,,nej,,,,,,,,
vardagsrum,skyddstackning,120,,ja,,,B,,"malning_tak,malning_vagg",Målning,,
vardagsrum,sockel,130,,nej,,,,,,,,
vardagsrum,taklist,140,,nej,,,,,,,,
sovrum,golv_ekparkett,10,golv,nej,,,,,,,,
sovrum,golv_ekparkett__rivning,20,,ja,,,A,golv_ekparkett,,,ja,nej
sovrum,golv_ekparkett__spackling,21,,nej,,,A,golv_ekparkett,,,ja,nej
sovrum,golv_klickvinyl,30,golv,nej,,,,,,,,
sovrum,golv_klickvinyl__rivning,40,,ja,,,A,golv_klickvinyl,,,ja,nej
sovrum,golv_klickvinyl__spackling,41,,nej,,,A,golv_klickvinyl,,,ja,nej
sovrum,golv_matta,50,golv,nej,,,,,,,,
sovrum,golv_matta__rivning,60,,ja,,,A,golv_matta,,,ja,nej
sovrum,golv_matta__spackling,61,,nej,,,A,golv_matta,,,ja,nej
sovrum,malning_tak,70,,nej,,,,,,,,
sovrum,malning_vagg,80,,nej,,,,,,,,
sovrum,innerdorr,90,innerdorr,ja,1,,,,,,,
sovrum,innerdorr_malning,100,innerdorr,nej,,,,,,,,
sovrum,fonster_malning,110,,nej,,,,,,,,
sovrum,garderob_60,120,,nej,,,,,,,,
sovrum,skyddstackning,130,,ja,,,B,,"malning_tak,malning_vagg",Målning,,
sovrum,sockel,140,,nej,,,,,,,,
sovrum,taklist,150,,nej,,,,,,,,
hall,golv_ekparkett,10,golv,nej,,,,,,,,
hall,golv_ekparkett__rivning,20,,ja,,,A,golv_ekparkett,,,ja,nej
hall,golv_ekparkett__spackling,21,,nej,,,A,golv_ekparkett,,,ja,nej
hall,golv_klickvinyl,30,golv,nej,,,,,,,,
