Kapitel.Nummer,Identitet,Enhet,Artiklar,Mtrl-summa,Tim-summa,UE-summa,Beräknat pris (kr),Senast uppdaterad,Källa-wbr
14.017,Skyddstäckning inomhus,st,"P2.2202000 Skyddstäckning av golv med papp (mtrl 0, tim 0, UE 22, åtgång 1, spill 1)
P2.2203000 Skyddstäckning av lister med papp (mtrl 0, tim 0, UE 20, åtgång 1, spill 1)",0,0,42,46,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.007,Linoleummatta på golv rivs,m²,"R1.1685000 Linoleummatta rivs (mtrl 0, tim 0.12, UE 0, åtgång 1, spill 1)",0,0.12,0,112,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.004,Eklamellparkett på golv rivs,m²,"R1.1682500 Eklamellparkett rivs (mtrl 0, tim 0.2, UE 0, åtgång 1, spill 1)",0,0.2,0,186,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.011,Väggplastmatta rivs,m²,"R2.1303000 Väggplastmatta rivs (mtrl 0, tim 0.12, UE 0, åtgång 1, spill 1)",0,0.12,0,112,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.009,Innerdörr 9x21 av trä rivs,st,"R5.2120900 900x2100 innerdörr rivs (mtrl 0, tim 0.4, UE 0, åtgång 1, spill 1)",0,0.4,0,372,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.012,Spackling undergolv,m²,"Q3.1000500 Golvspackelmassa 1,0 kg/m² (mtrl 0, tim 0, UE 170, åtgång 1, spill 1)",0,0,170,187,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.016,Ekparkett på golv,m²,"Q2.2302500 15 eklamellparkett-limfritt (mtrl 460, tim 0.2, UE 0, åtgång 1, spill 1.05)
L8.1020300 3 Tuplex underlagsmatta (mtrl 30.7, tim 0.06, UE 0, åtgång 1, spill 1.06)",515.54,0.26,0,757,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.018,Laminat på golv,m²,"Q8.1060700 8 laminatgolv-bostadsmiljö (mtrl 420, tim 0.25, UE 0, åtgång 1, spill 1.05)
L8.1020300 3 Tuplex underlagsmatta (mtrl 30.7, tim 0.06, UE 0, åtgång 1, spill 1.06)",473.54,0.31,0,762,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.020,Linoleum på golv,m²,"Q3.5151000 Vaxning av linoleummatta (mtrl 0, tim 0, UE 185, åtgång 1, spill 1)
Q3.5102000 2,5 linoleummatta (mtrl 0, tim 0, UE 480, åtgång 1, spill 1)",0,0,665,732,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
14.038,Ommålning inomhus väggar-tak på latexfärg,st,"P2.2520100 Akrylat ommålning 966-30008 (mtrl 0, tim 0, UE 47, åtgång 1, spill 1)",0,0,47,52,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
14.047,Ommålning fönster,st,"P2.2380100 Oljefärg ommålning 955-35310 karm (mtrl 0, tim 0, UE 35, åtgång 1, spill 1)",0,0,35,39,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
14.048,Ommålning innerdörrar,st,"P2.2564101 Lackf ommåln 956-30510 dörr+karm (mtrl 0, tim 0, UE 1102, åtgång 1, spill 1)",0,0,1102,1212,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.056,Bostadsinnerdörr 9x21 målad,st,"S3.2100900 9x21 målad lättdörr (mtrl 1449, tim 0.85, UE 0, åtgång 1, spill 1)
H5.1731300 Foder, 12x43 vitmålad (mtrl 25.3, tim 0.1, UE 0, åtgång 10.6, spill 1.1)
S5.1104000 Ektröskel (mtrl 220, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1115000 Fallåstillbehör (mtrl 575, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1121000 Trycke av metall (mtrl 265, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1191000 Dörrstoppare med distans (mtrl 104, tim 0.11, UE 0, åtgång 1, spill 1)",2908,2.35,0,5093,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
8.132,"Socklar, målade",m,"H5.1732300 Sockellist, 12x56 vitmålad (mtrl 28.5, tim 0.1, UE 0, åtgång 1, spill 1.1)",31.35,0.1,0,124,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
8.136,"Taklister, målade",m,"H5.1733300 Taklist, 21x33 skugglist vitmålad (mtrl 27, tim 0.11, UE 0, åtgång 1, spill 1.1)",29.7,0.11,0,132,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
